Date,Value
1917-09-30,-0.1257953479
1917-06-30,0.0048212976
1917-03-31,0.0043157895
1916-12-31,-0.0767735666
1916-09-30,0.1486939049
1916-06-30,-0.0393565684
1916-03-31,-0.0595057993
1915-12-31,0.0946124972
1915-09-30,0.292891807
1915-06-30,0.1517343416
1915-03-31,0.1145108098
1914-12-31,-0.2357882946
1914-09-30,-0.1145549219
1914-06-30,-0.0209976939
1914-03-31,0.0458238132
1913-12-31,-0.0197835013
1913-09-30,0.0731739885
1913-06-30,-0.0745180425
1913-03-31,-0.0790941163
1912-12-31,-0.0667020712
1912-09-30,0.0355257369
1912-06-30,0.0300215249
1912-03-31,0.0806807052
1911-12-31,0.0703708557
1911-09-30,-0.1124680158
1911-06-30,0.032544734
1911-03-31,0.0234759095
1910-12-31,0.020572002
1910-09-30,-0.0179847253
1910-06-30,-0.0950841601
1910-03-31,-0.0942958102
1909-12-31,-0.0050226017
1909-09-30,0.0787819679
1909-06-30,0.0715281003
1909-03-31,-0.0003482298
1908-12-31,0.0778180908
1908-09-30,0.1011158562
1908-06-30,0.0752481114
1908-03-31,0.149106383
1907-12-31,-0.1324571766
1907-09-30,-0.1572921852
1907-06-30,0.0026200873
1907-03-31,-0.1505034446
1906-12-31,-0.0051665964
1906-09-30,0.0899896564
1906-06-30,-0.1025270758
1906-03-31,0.0077962578
1905-12-31,0.1746031746
1905-09-30,0.0654351503
1905-06-30,-0.0393651587
1905-03-31,0.1495474788
1904-12-31,0.2087167911
1904-09-30,0.1693401015
1904-06-30,0.0026465798
1904-03-31,0.0002036245
1903-12-31,0.0722707424
1903-09-30,-0.2247799594
1903-06-30,-0.0716530484
1903-03-31,-0.0101104371
1902-12-31,-0.0281179138
1902-09-30,0.0286114135
1902-06-30,-0.0428635214
1902-03-31,0.0407372986
1901-12-31,-0.0315031503
1901-09-30,-0.1447267129
1901-06-30,0.1147025172
1901-03-31,-0.0111723943
1900-12-31,0.3029297955
1900-09-30,-0.0120152922
1900-06-30,-0.1679794002
1900-03-31,-0.0009079903
1899-12-31,-0.093179635
